e_id;geo_name;loc;geonamesid;time;time_norm;actor
2056;Paris;[u'48.86 2.3444444444444'];2988507;1665;1665-01-01;Tran Hung Dao
2057;Paris;[u'48.86 2.3444444444444'];2988507;1479;1479-01-01;Lê Lợi
2058;Paris;[u'48.86 2.3444444444444'];2988507;1479;1479-01-01;Le Quy Don
2059;Paris;[u'48.86 2.3444444444444'];2988507;1479;1479-01-01;Lê Thái Tông
2060;Paris;[u'48.86 2.3444444444444'];2988507;1479;1479-01-01;Lê Nhân Tông
2061;Paris;[u'48.86 2.3444444444444'];2988507;1479;1479-01-01;Vũ Quỳnh
2062;Paris;[u'48.86 2.3444444444444'];2988507;1479;1479-01-01;Lê Thánh Tông
2063;Paris;[u'48.86 2.3444444444444'];2988507;1479;1479-01-01;Lê Hiển Tông
2064;Paris;[u'48.86 2.3444444444444'];2988507;1479;1479-01-01;Lê Túc Tông
2065;Paris;[u'48.86 2.3444444444444'];2988507;1479;1479-01-01;Lê Uy Mục
2066;Paris;[u'48.86 2.3444444444444'];2988507;1479;1479-01-01;Phạm Công Trứ
2067;Paris;[u'48.86 2.3444444444444'];2988507;1479;1479-01-01;Ngô Sĩ Liên
2068;Hanoi;[u'21.033333333333 105.85'];1581130;1479;1479-01-01;Lê Huyền Tông
2069;Hanoi;[u'21.033333333333 105.85'];1581130;1993;1993-01-01;Le Van Huu
2070;Ming dynasty;[u'32.8 103.0833333'];;1479;1479-01-01;Phan Phu Tiên
2071;Ming dynasty;[u'32.8 103.0833333'];;1479;1479-01-01;Lê Thần Tông
2072;Ming dynasty;[u'32.8 103.0833333'];;1479;1479-01-01;Trinh Trang
2073;Ming dynasty;[u'32.8 103.0833333'];;1479;1479-01-01;Trần Thái Tông
2074;École française d'Extrême-Orient;[u'48.864444444444 2.2922222222222'];;1479;1479-01-01;Lê Huyền Tông
2075;Manchester;[u'53.466666666667 -2.2333333333333'];2643123;December 2002;2002-12-01;Russell Watson
2076;Manchester;[u'53.466666666667 -2.2333333333333'];2643123;December 2002;2002-12-01;Kirsty Howard
2077;Manchester;[u'53.466666666667 -2.2333333333333'];2643123;2002;2002-01-01;David Beckham
2078;Manchester;[u'53.466666666667 -2.2333333333333'];2643123;2002;2002-01-01;Victoria Beckham
2079;Manchester;[u'53.466666666667 -2.2333333333333'];2643123;2002;2002-01-01;Tony Blair
2080;Manchester;[u'53.466666666667 -2.2333333333333'];2643123;2002;2002-01-01;Ronan Keating
2081;Great Britain;[u'54.066666666667 -2.6166666666667'];;13 January 1746;1746-01-13;George III of Great Britain
2082;Great Britain;[u'54.066666666667 -2.6166666666667'];;13 January 1746;1746-01-13;Thomas Howard, 2nd Earl of Effingham
2083;Effingham;[u'43.761111111111 -70.996388888889'];5085825;13 January 1746;1746-01-13;George III of Great Britain
2084;Effingham County;[u'32.37 -81.34'];4193042;13 January 1746;1746-01-13;George III of Great Britain
2085;Effingham County;[u'39.06 -88.59'];4237730;13 January 1746;1746-01-13;George III of Great Britain
2086;Great Britain;[u'54.066666666667 -2.6166666666667'];;1927;1927-01-01;W. R. Dean
2087;Sydney Cricket Ground;[u'-33.891666666667 151.22472222222'];6255144;1960;1960-01-01;Bob Simpson
2088;Sydney Cricket Ground;[u'-33.891666666667 151.22472222222'];6255144;1960;1960-01-01;Colin McDonald
2089;The Gabba;[u'-27.485833333333 153.03805555556'];6615563;1962;1962-01-01;Richie Benaud
2090;Guwahati;[u'26.166666666667 91.766666666667'];1271476;last day;1937-02-11;Doug Walters
2091;Guwahati;[u'26.166666666667 91.766666666667'];1271476;last day;1937-02-11;E. A. S. Prasanna
2092;Guwahati;[u'26.166666666667 91.766666666667'];1271476;last day;1937-02-11;Bishan Singh Bedi
2093;Guwahati;[u'26.166666666667 91.766666666667'];1271476;last day;1937-02-11;Ashley Mallett
2094;Guwahati;[u'26.166666666667 91.766666666667'];1271476;last day;1937-02-11;Ashok Mankad
2095;Eden Gardens;[u'22.564444444444 88.343333333333'];;last day;1937-02-11;Doug Walters
2096;South Africa;[u'-29 24'];953987;1966;1966-01-01;Bob Cowper
2097;South Africa;[u'-29 24'];953987;1966;1966-01-01;Brian Booth
